source_url,source_url_text,source_link_caption,target_url,target_url_text,target_link_caption,domain,depth,status_code,content_type,html_filename
http://www.cornica.org/videos/amiga/,Amiga &mdash; Cornica,Amiga,http://www.cornica.org/amiga2000hd/,Amiga 2000 HD  &mdash; Cornica,,www.cornica.org,6,200,text/html; charset=utf-8,http___www_cornica_org_amiga2000hd_.html
http://www.cornica.org/amiga2000hd/,Amiga 2000 HD  &mdash; Cornica,,http://www.cornica.org/amiga/amiga2000hd/,Amiga 2000 HD  &mdash; Cornica,Amiga 2000 HD,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_amiga_amiga2000hd_.html
http://www.cornica.org/amiga/amiga2000hd/,Amiga 2000 HD  &mdash; Cornica,Amiga 2000 HD,http://www.cornica.org/amiga/amiga2000hd/#top,Amiga 2000 HD  &mdash; Cornica,back to top,www.cornica.org,8,200,text/html; charset=utf-8,http___www_cornica_org_amiga_amiga2000hd__top.html
http://www.cornica.org/amiga2000hd/,Amiga 2000 HD  &mdash; Cornica,,http://www.cornica.org/amiga2000hd/#top,Amiga 2000 HD  &mdash; Cornica,back to top,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_amiga2000hd__top.html
http://www.cornica.org/videos/amiga/,Amiga &mdash; Cornica,Amiga,http://www.cornica.org/amiga-at-comdex-fall-1992/,Amiga at Comdex Fall 1992 &mdash; Cornica,,www.cornica.org,6,200,text/html; charset=utf-8,http___www_cornica_org_amiga_at_comdex_fall_1992_.html
http://www.cornica.org/amiga-at-comdex-fall-1992/,Amiga at Comdex Fall 1992 &mdash; Cornica,,http://www.cornica.org/amiga/amiga-at-comdex-fall-1992/,Amiga at Comdex Fall 1992 &mdash; Cornica,Amiga at Comdex Fall 1992,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_amiga_amiga_at_comdex_fall_1992_.html
http://www.cornica.org/amiga/amiga-at-comdex-fall-1992/,Amiga at Comdex Fall 1992 &mdash; Cornica,Amiga at Comdex Fall 1992,http://www.cornica.org/amiga/amiga-at-comdex-fall-1992/#top,Amiga at Comdex Fall 1992 &mdash; Cornica,back to top,www.cornica.org,8,200,text/html; charset=utf-8,http___www_cornica_org_amiga_amiga_at_comdex_fall_1992__top.html
http://www.cornica.org/amiga-at-comdex-fall-1992/,Amiga at Comdex Fall 1992 &mdash; Cornica,,http://www.cornica.org/amiga-at-comdex-fall-1992/#top,Amiga at Comdex Fall 1992 &mdash; Cornica,back to top,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_amiga_at_comdex_fall_1992__top.html
http://www.cornica.org/videos/amiga/,Amiga &mdash; Cornica,Amiga,http://www.cornica.org/amiga-at-hp/,Amiga at Hewlett-Packard &mdash; Cornica,,www.cornica.org,6,200,text/html; charset=utf-8,http___www_cornica_org_amiga_at_hp_.html
http://www.cornica.org/amiga-at-hp/,Amiga at Hewlett-Packard &mdash; Cornica,,http://www.cornica.org/amiga/amiga-at-hp/,Amiga at Hewlett-Packard &mdash; Cornica,Amiga at Hewlett-Packard,www.cornica.org,7,200,text/html; charset=utf-8,http___www_cornica_org_amiga_amiga_at_hp_.html
