n
"(:URL {full_url: http://www.warpstream.net/play?v=j-P8kWYKiWM&f=wmp&q=1,content_type: text/html; charset=UTF-8,page_title: WarpStream - Heretic | It's Doom but Fantasy! #doscember,domain: www.warpstream.net})"
"(:URL {full_url: http://www.warpstream.net/playlist.asx?v=j-P8kWYKiWM&q=1,content_type: video/x-ms-asf,page_title: WARPSTREAM.NET,domain: www.warpstream.net})"
"(:URL {full_url: http://www.warpstream.net/play?v=j-P8kWYKiWM&f=rm&q=1,content_type: text/html; charset=UTF-8,page_title: WarpStream - Heretic | It's Doom but Fantasy! #doscember,domain: www.warpstream.net})"
"(:URL {full_url: http://www.wikipedia.org,content_type: text/html; charset=UTF-8,page_title: Main Page - Wikipedia,domain: www.wikipedia.org})"
"(:URL {full_url: http://www.wikipedia.org/wiki/Main_Page,content_type: text/html; charset=UTF-8,page_title: Main Page - Wikipedia,domain: www.wikipedia.org})"
"(:URL {full_url: http://www.wikipedia.org/wiki/Special:Recentchanges,content_type: text/html; charset=UTF-8,page_title: Special:Recentchanges - Wikipedia,domain: www.wikipedia.org})"
"(:URL {full_url: http://2004scape.org,content_type: text/html; charset=utf-8,page_title: Non-Affiliation Disclaimer | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/title,content_type: text/html; charset=utf-8,page_title: 2004Scape - the massive online adventure game,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news,content_type: text/html; charset=utf-8,page_title: Latest News | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news?page=2,content_type: text/html; charset=utf-8,page_title: Latest News | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news?page=3,content_type: text/html; charset=utf-8,page_title: Latest News | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news?page=4,content_type: text/html; charset=utf-8,page_title: Latest News | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news?page=5,content_type: text/html; charset=utf-8,page_title: Latest News | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news?page=6,content_type: text/html; charset=utf-8,page_title: Latest News | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news?page=7,content_type: text/html; charset=utf-8,page_title: Latest News | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news?page=8,content_type: text/html; charset=utf-8,page_title: Latest News | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news?page=9,content_type: text/html; charset=utf-8,page_title: Latest News | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news?cat=0,content_type: text/html; charset=utf-8,page_title: Latest News | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news?cat=1,content_type: text/html; charset=utf-8,page_title: Latest News | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news?cat=2,content_type: text/html; charset=utf-8,page_title: Latest News | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news?cat=3,content_type: text/html; charset=utf-8,page_title: Latest News | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news?cat=4,content_type: text/html; charset=utf-8,page_title: Latest News | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news?cat=5,content_type: text/html; charset=utf-8,page_title: Latest News | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news?cat=6,content_type: text/html; charset=utf-8,page_title: Latest News | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news?cat=7,content_type: text/html; charset=utf-8,page_title: Latest News | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news?cat=1&page=2,content_type: text/html; charset=utf-8,page_title: Latest News | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news/180,content_type: text/html; charset=utf-8,page_title: Removed 2 world regions (for now!) | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news/135,content_type: text/html; charset=utf-8,page_title: UK SMS Telebilling Change | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news/133,content_type: text/html; charset=utf-8,page_title: World 17 under repair | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news/145,content_type: text/html; charset=utf-8,page_title: Happy Birthday RS2! | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/disclaimer,content_type: text/html; charset=utf-8,page_title: Non-Affiliation Disclaimer | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news?cat=7&page=2,content_type: text/html; charset=utf-8,page_title: Latest News | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news?cat=7?,content_type: text/html; charset=utf-8,page_title: Latest News | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news?cat=7&page=3,content_type: text/html; charset=utf-8,page_title: Latest News | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news?cat=7&page=4,content_type: text/html; charset=utf-8,page_title: Latest News | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news?cat=7&page=5,content_type: text/html; charset=utf-8,page_title: Latest News | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news?cat=7&page=6,content_type: text/html; charset=utf-8,page_title: Latest News | 2004Scape,domain: 2004scape.org})"
"(:URL {full_url: http://2004scape.org/news?cat=7&page=7,content_type: text/html; charset=utf-8,page_title: Latest News | 2004Scape,domain: 2004scape.org})"
